pain|C0030193|Pain
pain|C0150055|Chronic Pain
pain|C0151825|Bone Pain
pain|C0184567|Acute Pain
pain|C0221776|Painful Mouth
pain|C0231225|Pain Crisis
pain|C0231710|Pain In Buttock
pain|C0232286|Precordial Pain
pain|C0234228|Superficial Pain
pain|C0234229|Deep Pain
pain|C0234230|Burning Pain
pain|C0234238|Aching Pain
pain|C0234242|Pain And Tenderness
pain|C0234244|Somatic Pain
pain|C0234250|Referred Pain
pain|C0234251|Inflammatory Pain
pain|C0234252|Mechanical Pain
pain|C0234253|Rest Pain
pain|C0234254|Radiating Pain
pain|C0234255|Night Pain
pain|C0235048|Smarting Pain
pain|C0241136|Pain Of Skin
pain|C0241310|Suprapubic Pain
pain|C0241745|Wound Pain
pain|C0278138|Mild Pain
pain|C0278139|Moderate Pain
pain|C0278140|Severe Pain
pain|C0278141|Excruciating Pain
pain|C0278143|Exquisite Pain
pain|C0278144|Dull Pain
pain|C0278145|Stabbing Pain
pain|C0278146|Shooting Pain
pain|C0278147|Radicular Pain
pain|C0278148|Throbbing Pain
pain|C0281856|Generalized Aches And Pains
pain|C0455270|Sharp Pain
pain|C0458118|Total Body Pain Syndrome
pain|C0458219|Complex Regional Pain Syndrome
pain|C0458254|Cramping Pain
pain|C0458256|Heavy Pain
pain|C0478148|Other Chronic Pain
pain|C0520962|Localized Pain
pain|C0520963|Diffuse Pain
pain|C0577659|Pain In Axilla
pain|C0747149|Uncontrolled Pain
pain|C0877113|Painful Scar
pain|C1282310|Intermittent Pain
pain|C1298685|Chronic Pain Syndrome
pain|C1536114|Central Pain Syndrome
pain|C1960160|Constant Pain
pain|C1997001|Squeezing Pain
pain|C1997216|Spontaneous Pain
pain|C3650806|Inadequate Pain Control
pain|C3714625|Neuropathic Pain
pain|C3853138|Very Mild Pain
pain|C3888418|Colicky Pain
pain|C5192202|Tingling Pain
anxiety|C0003467|Anxiety
anxiety|C0003469|Anxiety Disorder
anxiety|C0027769|Nervousness
anxiety|C0154587|Adjustment Disorder With Anxious Mood
anxiety|C0231397|Anticipatory Anxiety
anxiety|C0231401|Mild Anxiety
anxiety|C0231402|Moderate Anxiety
anxiety|C0236659|Alcohol-Induced Anxiety Disorder
anxiety|C0236748|Organic Anxiety Disorder
anxiety|C0270549|Generalized Anxiety Disorder
anxiety|C0270590|Anxiety Hyperventilation
anxiety|C0349233|Other Mixed Anxiety Disorders
anxiety|C0424139|Anxiety And Fear
anxiety|C0424145|Anxiety About Body Function Or Health
anxiety|C0457031|Anxiety About Dying
anxiety|C0522179|Death Anxiety
anxiety|C0549209|Feeling Jittery
anxiety|C0558208|Anxiety About Treatment
anxiety|C0581386|Chronic Anxiety
anxiety|C0700031|Anxiety Attack
anxiety|C0700613|Anxiety State
anxiety|C0849963|Feeling Nervous
anxiety|C1279420|Anxiety Neurosis
anxiety|C2239195|Anxious Mood
anxiety|C5230176|Anxiety Due To Dementia
depression|C0001539|Adjustment Disorder With Depressed Mood
depression|C0005587|Bipolar Affective Disorder, Current Episode Depression
depression|C0011579|Reactive Depression (Situational)
depression|C0011581|Depressive Disorder
depression|C0024517|Major Depression, Single Episode
depression|C0086132|Symptoms Of Depression
depression|C0154403|Mild Major Depression, Single Episode
